DVDRef	DVDNumber	BroodRef	BroodName	NestboxRef	NestboxName	OffspringNo	Age	DVDdate	DVDtime	Weather	Wind	SocialDadID	SocialMumID	SocialDadID.2009to11frommyDBparents	SocialMumID.2009to11frommyDBparents	changedfromDB
3908	VM0569	1591	M133	105	R2	3	10	26/07/2013	12:09	0	1	5311	6370	5311	6370	NA
3909	VM0570	1605	M147	113	S1	2	6	26/07/2013	15:05	0	1	4682	5093	4682	5093	NA
3910	VM0571	1602	M144	412	F11	2	8	26/07/2013	10:59	0	1	4745	4858	4745	4858	NA
3911	VM0572	1603	M145	41	LM19	3	8	27/07/2013	07:05	0	1	4895	5140	4895	5140	NA
3912	VM0573	1610	M152	54	LM29	3	8	27/07/2013	07:05	0	1	4768	4059	4768	4059	NA
3913	VM0574	1612	M154	129	W19	3	6	27/07/2013	07:54	0	1	6344	6316	6344	6316	NA
3914	VM0575	1615	M157	5	C3	2	6	27/07/2013	16:12	1	1	NA	6476	6251	6476	NA
3915	VM0576	1614	M156	388	S1L	2	6	27/07/2013	18:03	1	1	NA	6250	NA	6250	NA
3916	VM0577	1594	M136	399	S1L2	3	10	27/07/2013	18:05	1	1	6532	6374	6532	6374	NA
3917	VM0578	1595	M137	423	Recycling6	1	10	27/07/2013	08:25	1	1	6493	6606	6493	6606	NA
3918	VM0579	1593	M135	405	Recycling4	3	10	27/07/2013	08:25	1	1	4929	4854	4929	4854	NA
3919	VM0580	1629	M171	403	LM1L	2	6	28/07/2013	13:47	1	2	6648	6462	6648	6462	NA
3920	VM0581	1609	M151	68	LM4	2	10	28/07/2013	06:29	0	1	4960	4873	4960	4873	NA
3921	VM0582	1596	M138	70	LM5	1	10	28/07/2013	06:28	0	1	6461	5407	6461	5407	NA
3922	VM0583	1598	M140	74	LM9	2	10	28/07/2013	08:11	0	2	4991	4723	4991	4723	NA
3923	VM0584	1599	M141	50	LM26	1	10	28/07/2013	08:12	0	2	NA	NA	5359	5598	NA
3924	VM0585	1604	M146	62	LM36	2	8	28/07/2013	12:32	0	2	5393	6290	5393	6290	NA
3925	VM0586	1611	M153	238	LM37	4	6	28/07/2013	06:32	0	1	5593	6317	5593	6317	NA
3926	VM0587	1606	M148	241	LM41	2	8	28/07/2013	12:32	0	2	5202	6387	5202	6387	NA
3927	VM0588	1601	M143	147	W8	4	10	28/07/2013	14:43	1	2	4757	5214	4757	5214	NA
3928	VM0589	1607	M149	131	W20	3	8	28/07/2013	10:03	1	2	6436	6460	6436	6460	NA
3932	VM0590	1618	M160	31	LM1	1	6	29/07/2013	06:25	1	3	5468	6453	5468	6453	NA
3929	VM0591	1613	M155	19	F7	3	6	28/07/2013	09:56	1	2	3764	5284	3764	5284	NA
3930	VM0592	1605	M147	113	S1	2	8	28/07/2013	11:36	3	2	4682	5093	4682	5093	NA
3931	VM0593	1602	M144	412	F11	3	10	28/07/2013	14:45	1	2	4745	4858	4745	4858	NA
3933	VM0594	1603	M145	41	LM19	3	10	29/07/2013	06:26	1	3	4895	5140	4895	5140	NA
3934	VM0595	1610	M152	54	LM29	3	10	29/07/2013	09:06	1	3	4768	4059	4768	4059	NA
3935	VM0596	1600	M142	389	LM38R	1	10	29/07/2013	09:07	1	3	6521	6500	6521	6500	NA
3936	VM0597	1612	M154	129	W19	2	8	29/07/2013	12:32	0	2	6344	6316	6344	6316	NA
3937	VM0598	1621	M163	136	W24	2	6	29/07/2013	12:10	0	2	6509	6384	6509	6384	NA
3938	VM0599	1615	M157	5	C3	2	8	29/07/2013	10:50	0	3	NA	6476	6251	6476	NA
3939	VM0600	1616	M158	424	MM5L5	2	6	29/07/2013	10:57	0	2	6887	6565	6887	6565	NA
3940	VM0601	1604	M146	62	LM36	2	10	30/07/2013	06:49	1	2	5393	6290	5393	6290	NA
3941	VM0602	1611	M153	238	LM37	3	8	30/07/2013	06:48	1	2	5593	6317	5593	6317	NA
3942	VM0603	1606	M148	241	LM41	2	10	30/07/2013	06:49	1	2	5202	6387	5202	6387	NA
3943	VM0604	1620	M162	146	W7	2	5	30/07/2013	08:37	1	1	6240	6238	6240	6238	NA
3944	VM0605	1607	M149	131	W20	2	10	30/07/2013	08:37	1	1	6436	6460	6436	6460	NA
3945	VM0606	1613	M155	19	F7	3	8	30/07/2013	10:27	1	1	3764	5284	3764	5284	NA
3946	VM0607	1605	M147	113	S1	2	10	30/07/2013	10:18	1	1	4682	5093	4682	5093	NA
3947	VM0608	1617	M159	411	F10	3	5	30/07/2013	10:24	1	1	5253	6647	5253	6647	NA
3948	VM0609	1618	M160	31	LM1	1	8	31/07/2013	18:23	1	3	5468	6453	5468	6453	NA
3949	VM0610	1623	M165	47	LM23	1	6	31/07/2013	18:25	1	3	5489	5014	5489	5014	NA
3950	VM0611	1612	M154	129	W19	2	10	31/07/2013	09:39	2	3	6344	6316	6344	6316	NA
3951	VM0612	1621	M163	136	W24	2	8	31/07/2013	06:49	2	2	6509	6384	6509	6384	NA
3952	VM0613	1615	M157	5	C3	2	10	31/07/2013	09:48	2	3	NA	6476	6251	6476	NA
3953	VM0614	1614	M156	388	S1L	2	10	31/07/2013	07:07	2	2	NA	6250	NA	6250	NA
3954	VM0615	1611	M153	238	LM37	3	10	01/08/2013	08:30	1	1	5593	6317	5593	6317	NA
3955	VM0616	1620	M162	146	W7	2	7	01/08/2013	06:37	0	1	6240	6238	6240	6238	NA
3956	VM0617	1613	M155	19	F7	3	10	01/08/2013	06:42	0	1	3764	5284	3764	5284	NA
3957	VM0618	1617	M159	411	F10	2	7	01/08/2013	06:41	0	1	5253	6647	5253	6647	NA
3958	VM0619	1629	M171	403	LM1L	2	10	01/08/2013	08:29	1	1	6648	6462	6648	6462	NA
3959	VM0620	1618	M160	31	LM1	1	10	02/08/2013	06:58	1	2	5468	6453	5468	6453	NA
3960	VM0621	1636	M178	55	LM3	4	5	02/08/2013	06:58	1	2	4960	4961	4960	4961	NA
3961	VM0622	1623	M165	47	LM23	1	8	02/08/2013	06:57	1	2	5489	5014	5489	5014	NA
3962	VM0623	1621	M163	136	W24	2	10	02/08/2013	08:49	0	1	6509	6384	6509	6384	NA
3963	VM0624	1626	M168	18	F6	2	6	02/08/2013	08:48	0	2	4943	5294	4943	5294	NA
3964	VM0625	1616	M158	424	MM5L5	2	10	02/08/2013	10:57	0	1	6887	6565	6887	6565	NA
3965	VM0626	1620	M162	146	W7	2	9	03/08/2013	06:28	0	0	6240	6238	6240	6238	NA
3966	VM0627	1617	M159	411	F10	2	9	03/08/2013	06:27	0	0	5253	6647	5253	6647	NA
3967	VM0628	1623	M165	47	LM23	1	10	04/08/2013	07:52	4	2	5489	5014	5489	5014	NA
3968	VM0629	1627	M169	134	W22	2	6	04/08/2013	07:58	4	2	4722	4944	4722	4944	NA
3969	VM0630	1626	M168	18	F6	1	8	04/08/2013	12:38	1	4	4943	5294	4943	5294	NA
3970	VM0631	1627	M169	134	W22	2	8	06/08/2013	07:43	1	0	4722	4944	4722	4944	NA
3971	VM0632	1626	M168	18	F6	1	10	06/08/2013	07:37	1	0	4943	5294	4943	5294	NA
3972	VM0633	1627	M169	134	W22	2	10	06/08/2013	11:48	1	0	4722	4944	4722	4944	changedDate
3973	VM0634	1636	M178	55	LM3	4	11	08/08/2013	06:54	0	0	4960	4961	4960	4961	NA
3974	VM0635	1627	M169	134	W22	2	10	08/08/2013	06:58	0	0	4722	4944	4722	4944	NA
3980	VN0001	1646	N008	431	S3R	5	5	17/04/2014	07:15	1	2	6533	6639	6533	6639	NA
3981	VN0002	1650	N012	139	W27	5	5	18/04/2014	08:01	0	2	6492	6555	6492	6555	NA
3982	VN0003	1651	N013	115	S3	5	5	18/04/2014	16:29	0	2	4682	4576	4682	4576	NA
3983	VN0004	1654	N016	68	LM4	5	5	21/04/2014	14:28	0	1	4960	4873	4960	4873	NA
3984	VN0005	1652	N014	53	LM28	5	7	21/04/2014	16:28	1	1	5616	5589	5616	5589	NA
3985	VN0006	1646	N008	431	S3R	5	11	23/04/2014	08:30	2	1	6533	6639	6533	6639	NA
3986	VN0007	1653	N015	432	Woodpile2	4	5	23/04/2014	08:37	4	1	7264	7011	7264	7011	NA
3995	VN0008	1658	N020	434	LM40R	4	5	22/04/2014	17:31	2	2	6793	5407	6793	5407	NA
3987	VN0009	1640	N002	45	LM22	3	6	23/04/2014	10:30	2	1	5517	6321	5517	6321	NA
3988	VN0010	1650	N012	139	W27	5	11	24/04/2014	09:23	2	1	6492	6555	6492	6555	NA
3996	VN0011	1659	N021	13	F2	5	5	24/04/2014	07:48	0	1	6562	6967	6562	6967	NA
3989	VN0012	1645	N007	18	F6	4	6	24/04/2014	07:47	0	0	4943	5294	4943	5294	NA
3990	VN0013	1651	N013	115	S3	5	11	24/04/2014	07:56	0	0	4682	4576	4682	4576	NA
3997	VN0014	1660	N022	43	LM20	4	5	25/04/2014	10:45	0	0	6260	6643	6260	6643	NA
3992	VN0015	1640	N002	45	LM22	2	8	25/04/2014	09:39	0	0	5517	6321	5517	6321	NA
3993	VN0016	1652	N014	53	LM28	5	4	25/04/2014	09:38	0	0	5616	5589	5616	5589	NA
3998	VN0017	1661	N023	241	LM41	4	5	25/04/2014	09:38	0	0	5202	4933	5202	4933	NA
3999	VN0018	1664	N026	238	LM37	4	5	26/04/2014	10:51	0	3	5466	6317	5466	6317	NA
3994	VN0019	1645	N007	18	F6	3	8	26/04/2014	09:16	1	3	4943	5294	4943	5294	NA
4003	VN0020	1666	N028	31	LM1	3	5	27/04/2014	10:50	1	2	5466	4739	5466	4739	NA
4000	VN0021	1654	N016	68	LM4	5	11	27/04/2014	10:47	0	2	4960	4873	4960	4873	NA
4001	VN0022	1640	N002	45	LM22	2	10	27/04/2014	10:51	0	2	5517	6321	5517	6321	NA
4004	VN0023	1667	N029	26	LF2	4	5	28/04/2014	07:33	0	1	6902	6920	6902	6920	NA
4005	VN0024	1645	N007	18	F6	2	10	28/04/2014	08:36	0	1	4943	5294	4943	5294	NA
4006	VN0025	1658	N020	434	LM40R	4	11	28/04/2014	17:39	0	1	6793	5407	6793	5407	NA
4008	VN0026	1668	N030	133	W21	5	5	29/04/2014	08:19	2	0	6927	6955	6927	6955	NA
4009	VN0027	1669	N031	37	LM15	3	5	29/04/2014	10:48	2	0	6808	6526	6808	6526	NA
4013	VN0028	1657	N019	60	LM34	3	6	30/04/2014	13:59	1	1	4768	4059	4768	4059	NA
4010	VN0029	1656	N018	119	W1	3	6	30/04/2014	06:48	1	1	4900	6767	4900	6767	NA
4011	VN0030	1659	N021	13	F2	5	11	30/04/2014	06:42	1	1	6562	6967	6562	6967	NA
4012	VN0031	1653	N015	432	Woodpile2	4	12	30/04/2014	06:45	1	1	7264	7011	7264	7011	NA
4017	VN0032	1672	N034	41	LM19	4	5	01/05/2014	12:42	2	1	4895	5140	4895	5140	NA
4018	VN0033	1660	N022	43	LM20	4	11	01/05/2014	12:42	2	1	6260	6643	6260	6643	NA
4019	VN0034	1661	N023	241	LM41	4	11	01/05/2014	12:41	2	1	5202	4933	5202	4933	NA
4015	VN0036	1670	N032	127	W17	5	5	01/05/2014	06:17	3	1	5424	4663	5424	4663	NA
4016	VN0037	1671	N033	135	W23	4	5	01/05/2014	06:22	3	1	6509	6384	6509	6384	NA
4022	VN0038	1673	N035	84	MM1	5	5	01/05/2014	14:32	0	1	6270	6269	6270	6269	NA
4023	VN0039	1674	N036	435	BartonsL	5	5	01/05/2014	14:19	0	1	NA	6788	NA	6788	NA
4029	VN0040	1678	N040	72	LM7	4	5	02/05/2014	15:52	0	1	5675	4872	5675	4872	NA
4076	VN0041	1685	N047	32	LM10	4	5	02/05/2014	15:54	0	1	6461	4723	6461	4723	NA
